"Question","Answer"
"AGSP คืออะไร","AGSP คือ LINE Bot ผู้ช่วยนักศึกษาวิชา KAAG474 Senior Project ของมหาวิทยาลัยมหิดล ช่วยได้ 2 อย่าง ได้แก่ (1) ตอบคำถามเกี่ยวกับรายวิชาและกำหนดการ และ (2) ประเมินทักษะ Hard Skill / Soft Skill เพื่อวางแผนพัฒนาตนเอง"
"ใช้ AGSP อย่างไร","พิมพ์คำถามเกี่ยวกับวิชา KAAG474 ได้เลย เช่น ""ส่ง Proposal เมื่อไหร่"" หรือ ""Proposal ต้องมีอะไรบ้าง"" หากต้องการประเมินทักษะให้พิมพ์ ""ประเมิน"" แล้วทำตามขั้นตอน"
"AGSP ตอบคำถามอะไรได้บ้าง","AGSP ตอบได้ 3 กลุ่มหลัก ได้แก่ (1) กำหนดการรายวิชา เช่น ส่งงานเมื่อไหร่ นำเสนอช่วงไหน (2) ข้อมูลรายวิชา เช่น Proposal ต้องมีอะไร ต้องส่งเอกสารอะไรบ้าง และ (3) กระบวนการวิจัย เช่น เลือกหัวข้ออย่างไร ใช้ AI ได้ไหม"
"ประเมินทักษะด้วย AGSP ทำอย่างไร","พิมพ์ ""ประเมิน"" → ยืนยัน PDPA → ใส่รหัสนักศึกษา → ตอบคำถาม 23 ข้อ (ใช้เวลาประมาณ 10–15 นาที) → รับผลและคำแนะนำทันที น้องสามารถทำซ้ำเพื่อติดตามพัฒนาการได้"
"ดูผลประเมินย้อนหลังได้ไหม","ได้ หากเคยทำแบบประเมินไปแล้ว ให้พิมพ์ ""ประเมิน"" → ใส่รหัสนักศึกษาเดิม → ระบบจะแสดงตัวเลือก ""ดูความก้าวหน้า"" หรือ ""ทำแบบประเมินใหม่"" นอกจากนี้ยังพิมพ์ ""ความก้าวหน้า"" หรือ ""ดูผล"" ได้ทันที"
"ข้อมูลส่วนตัวของฉันปลอดภัยไหม","ปลอดภัยค่ะ/ครับ ระบบไม่เก็บชื่อหรือข้อมูลส่วนตัว รหัสนักศึกษาจะถูกเข้ารหัสก่อนบันทึก ตามนโยบาย PDPA ของมหาวิทยาลัย น้องมีสิทธิ์ขอลบข้อมูลได้ทุกเมื่อโดยพิมพ์ ""ขอลบข้อมูล"""
"ยกเลิกการแจ้งเตือน Follow-up อย่างไร","พิมพ์ ""ยกเลิกการแจ้งเตือน"" ได้เลย AGSP จะหยุดส่ง push message ให้ทันที"
"รายวิชา Senior Project ปี 2569 เริ่มเมื่อไหร่","รายวิชา Senior Project ปี 2569 จะเริ่มกิจกรรมเตรียมความพร้อมในช่วงกรกฎาคม และเริ่มกิจกรรมหลักตั้งแต่ต้นเดือนสิงหาคม 2569 เป็นต้นไป นักศึกษาควรติดตามประกาศจากรายวิชาอย่างต่อเนื่อง"
"ปฐมนิเทศ Senior Project จัดช่วงไหน","การปฐมนิเทศรายวิชา Senior Project กำหนดจัดในช่วงต้นเดือนสิงหาคม 2569 เพื่อชี้แจงวัตถุประสงค์รายวิชา ขั้นตอนการทำโครงงาน เกณฑ์การประเมิน และเอกสารที่นักศึกษาต้องส่ง"
"ต้องทำ Pre-test ตอนไหน","นักศึกษาควรทำ Pre-test หรือ Self-Assessment ในช่วงต้นเดือนสิงหาคม 2569 หลังการปฐมนิเทศรายวิชา เพื่อประเมินความเข้าใจเบื้องต้นเกี่ยวกับการทำโครงงานวิจัย Hard Skill, Soft Skill และการใช้ AI Tools"
